Timestamp,Battery Voltage (V),Battery Current (mA)
2026-06-25 13:59:50,3.2,30.2
2026-06-25 14:03:43,3.19,28.2
2026-06-25 14:04:55,3.19,27.4
2026-06-25 14:05:13,3.18,28.2
2026-06-25 14:06:57,3.19,27.8
2026-06-25 14:08:30,3.2,14.4
2026-06-25 14:10:17,3.16,135.8
2026-06-25 14:12:24,3.2,-0.8
2026-06-25 14:12:41,3.2,-52.4
2026-06-25 14:15:41,3.19,28.2
2026-06-25 14:15:58,3.2,28.2
2026-06-25 14:17:45,3.19,28.2
2026-06-25 14:19:12,3.18,28.6
2026-06-25 14:19:31,3.17,28.2
2026-06-25 14:21:35,3.19,28.8
2026-06-25 14:27:15,3.19,28.4
2026-06-25 14:27:33,3.18,21.2
2026-06-25 14:29:03,3.18,28.8
2026-06-25 14:31:09,3.19,28.2
2026-06-25 14:34:26,3.19,28.8
2026-06-25 14:38:38,3.18,28
2026-06-25 14:42:08,3.19,29.2
2026-06-25 14:43:38,3.18,28.6
2026-06-25 14:43:55,3.18,29.2
2026-06-25 14:45:39,3.18,77.8
2026-06-25 14:45:57,3.18,55
2026-06-25 14:47:45,3.18,39.2
2026-06-25 14:49:16,3.18,46.6
2026-06-25 14:49:35,3.18,33.2
2026-06-25 14:52:48,3.17,80.6
2026-06-25 14:53:04,3.17,44.4
2026-06-25 14:54:50,3.16,81
2026-06-25 14:55:07,3.16,75
2026-06-25 14:56:52,3.14,74.8
2026-06-25 15:07:52,3.17,61.4
2026-06-25 15:08:12,3.16,76
2026-06-25 15:09:43,3.17,55.4
2026-06-25 15:11:43,3.18,75
2026-06-25 15:12:00,3.17,20
2026-06-25 15:13:46,3.19,-42.6
2026-06-25 15:15:29,3.18,30
2026-06-25 15:21:08,3.18,48.4
2026-06-25 15:22:38,3.16,55.8
2026-06-25 15:22:56,3.17,76.8
2026-06-25 15:25:18,3.13,100.8
2026-06-25 15:25:23,3.13,117
2026-06-25 15:31:56,3.14,109.4
2026-06-25 15:32:13,3.13,125.4
2026-06-25 15:46:40,3.12,153.2
2026-06-25 15:59:45,3.11,149.4
2026-06-25 17:07:30,3.09,121
